id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
CYP4F3,4,0.34989,0.56002,1.0,10603,2,0.0096672,0.020863,0.973647,422,1
PLEKHG1,4,0.34989,0.56002,1.0,10604,1,0.2142,0.22421,0.985705,4509,1
DPYSL3,4,0.34989,0.56002,1.0,10605,1,0.42486,0.42458,0.985705,8595,0
PRKAA2,4,0.34989,0.56002,1.0,10606,2,0.49479,0.4946,0.985705,10061,0
BTBD7,4,0.34989,0.56002,1.0,10607,1,0.0050913,0.013033,0.966743,266,2
SENP3,4,0.35007,0.56014,1.0,10608,2,0.080067,0.11613,0.985705,2285,1
HSP90B1,4,0.35008,0.56015,1.0,10609,2,0.13109,0.15566,0.985705,3106,1
UBQLN1,4,0.35023,0.56027,1.0,10610,2,0.058164,0.099523,0.985705,1941,1
TAZ,4,0.35023,0.56027,1.0,10611,2,0.32559,0.32565,0.985705,6583,1
BCKDHB,4,0.35023,0.56027,1.0,10612,2,0.038172,0.068234,0.985705,1318,1
HIST1H2BD,4,0.3504,0.5604,1.0,10613,2,0.66934,0.66919,0.986183,13639,0
2006-09-01 00:00:00,4,0.3504,0.5604,1.0,10614,2,0.11282,0.14133,0.985705,2802,1
PLA2G5,4,0.35058,0.56053,1.0,10615,2,0.4733,0.47323,0.985705,9581,0
SP100,4,0.35058,0.56053,1.0,10616,2,0.42187,0.42161,0.985705,8533,0
controlguide211,1,0.35069,0.35091,1.0,10617,1,0.64931,0.64937,0.985939,13224,0
EME2,4,0.35089,0.56074,1.0,10618,1,0.10292,0.13361,0.985705,2647,1
ABCA9,4,0.35089,0.56074,1.0,10619,1,0.47027,0.47017,0.985705,9509,0
C9orf106,4,0.35089,0.56074,1.0,10620,1,0.44138,0.44113,0.985705,8930,0
C19orf66,4,0.35089,0.56074,1.0,10621,1,0.5217,0.52154,0.985705,10620,0
DENND4C,4,0.35089,0.56074,1.0,10622,1,0.69444,0.69442,0.986998,14140,0
HDAC8,4,0.35138,0.56107,1.0,10623,2,0.049323,0.086239,0.985705,1681,2
TEX13B,4,0.35155,0.56119,1.0,10624,2,0.76496,0.76501,0.989886,15540,0
KLF3,4,0.3516,0.56122,1.0,10625,2,0.47049,0.4704,0.985705,9514,0
ZNF514,4,0.35167,0.56127,1.0,10626,2,0.59757,0.59726,0.985705,12174,0
ZCWPW1,4,0.35182,0.56137,1.0,10627,2,0.82228,0.82263,0.994743,16616,0
controlguide846,1,0.35192,0.35212,1.0,10628,1,0.64808,0.64812,0.985939,13199,0
CTTNBP2,4,0.35204,0.56151,1.0,10629,2,0.28084,0.28341,0.985705,5739,1
SARM1,4,0.35228,0.56168,1.0,10630,2,0.43133,0.43109,0.985705,8726,0
SLC12A1,4,0.35228,0.56168,1.0,10631,2,0.51423,0.51408,0.985705,10460,0
